tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N561FX,NORDSTROM INC,a72b34,2024-11-30,2024-11-30 15:01:36+00:00,2024-11-30 17:53:20+00:00,171.7,KBED,Laurence G Hanscom Field,Bedford,US,42.470001,-71.289001,82FL,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-30,2024-11-30 11:52:32+00:00,2024-11-30 12:31:56+00:00,39.4,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799,KBED,Laurence G Hanscom Field,Bedford,US,42.470001,-71.289001
N561FX,NORDSTROM INC,a72b34,2024-12-03,2024-12-03 22:54:27+00:00,2024-12-03 23:44:51+00:00,50.4,KJWN,John C Tune Airport,Nashville,US,36.1824,-86.886703,KSTL,St. Louis Lambert International Airport,St Louis,US,38.748697,-90.370003
N561FX,NORDSTROM INC,a72b34,2024-12-05,2024-12-05 20:09:30+00:00,2024-12-05 21:11:29+00:00,62.0,KORD,Chicago O'Hare International Airport,Chicago,US,41.9786,-87.9048,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,44.880081,-93.221741
N561FX,NORDSTROM INC,a72b34,2024-12-05,2024-12-05 02:53:30+00:00,2024-12-05 04:51:57+00:00,118.4,KLGA,LaGuardia Airport,New York,US,40.777199,-73.872597,KORD,Chicago O'Hare International Airport,Chicago,US,41.9786,-87.9048
N561FX,NORDSTROM INC,a72b34,2024-12-04,2024-12-04 23:53:18+00:00,2024-12-05 00:44:50+00:00,51.5,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803,KLGA,LaGuardia Airport,New York,US,40.777199,-73.872597
N561FX,NORDSTROM INC,a72b34,2024-12-04,2024-12-04 20:37:22+00:00,2024-12-04 21:54:28+00:00,77.1,KSPI,Abraham Lincoln Capital Airport,Springfield,US,39.844101,-89.677902,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803
N561FX,NORDSTROM INC,a72b34,2024-12-04,2024-12-04 17:23:26+00:00,2024-12-04 18:53:29+00:00,90.0,KNEW,Lakefront Airport,New Orleans,US,30.042400360107,-90.028297424316,KSPI,Abraham Lincoln Capital Airport,Springfield,US,39.844101,-89.677902
N561FX,NORDSTROM INC,a72b34,2024-12-04,2024-12-04 00:24:26+00:00,2024-12-04 01:42:48+00:00,78.4,KSTL,St. Louis Lambert International Airport,St Louis,US,38.748697,-90.370003,KNEW,Lakefront Airport,New Orleans,US,30.042400360107,-90.028297424316
N561FX,NORDSTROM INC,a72b34,2024-12-07,2024-12-07 17:17:04+00:00,2024-12-07 20:41:28+00:00,204.4,KFCM,Flying Cloud Airport,Minneapolis,US,44.8272018433,-93.4570999146,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
N561FX,NORDSTROM INC,a72b34,2024-12-06,2024-12-06 17:35:01+00:00,2024-12-06 19:09:59+00:00,95.0,,,,,,,KFCM,Flying Cloud Airport,Minneapolis,US,44.8272018433,-93.4570999146
N561FX,NORDSTROM INC,a72b34,2024-12-06,2024-12-06 15:02:10+00:00,2024-12-06 16:35:53+00:00,93.7,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,44.880081,-93.221741,,,,,,
