Date,Price,Open,High,Low,Vol.,Change %
5/1/24,18.81,18.97,19.35,18.57,1.89M,-1.05%
4/30/24,19.01,19.22,19.67,19,3.42M,-2.16%
4/29/24,19.43,19.23,19.45,19.17,2.32M,1.57%
4/26/24,19.13,19.02,19.22,18.86,2.19M,0.68%
4/25/24,19,18.93,19.13,18.62,2.46M,-1.35%
4/24/24,19.26,19.6,19.67,19.07,2.41M,-2.33%
4/23/24,19.72,18.84,19.87,18.78,3.77M,4.95%
4/22/24,18.79,18.96,19.15,18.52,2.61M,-0.69%
4/19/24,18.92,18.67,19.24,18.48,4.02M,0.96%
4/18/24,18.74,18.06,20.27,17.91,6.11M,4.40%
4/17/24,17.95,17.85,18.02,17.63,2.27M,1.36%
4/16/24,17.71,17.64,17.85,17.2,4.14M,-0.34%
4/15/24,17.77,19.26,19.31,17.68,4.76M,-6.77%
4/12/24,19.06,19.58,19.67,18.95,2.65M,-3.74%
4/11/24,19.8,19.58,19.89,19.18,2.52M,2.11%
4/10/24,19.39,19.08,19.44,18.75,3.35M,0.05%
4/9/24,19.38,19.49,19.9,19.19,4.42M,-0.31%
4/8/24,19.44,18.7,19.44,18.58,3.34M,4.18%
4/5/24,18.66,18.28,18.9,18.21,2.38M,2.53%
4/4/24,18.2,19.18,19.28,18.1,3.82M,-4.31%
4/3/24,19.02,19.46,19.51,19,3.14M,-2.41%
4/2/24,19.49,19.89,19.89,18.83,4.89M,-3.32%
4/1/24,20.16,20.28,20.37,20.03,2.88M,-0.54%
3/28/24,20.27,19.92,20.3,19.84,2.59M,1.76%
3/27/24,19.92,18.79,19.94,18.75,4.05M,6.98%
3/26/24,18.62,19.03,19.4,18.59,3.67M,-1.53%
3/25/24,18.91,19.14,19.24,18.67,4.08M,-0.68%
3/22/24,19.04,19.91,20.06,18.97,4.44M,-5.04%
3/21/24,20.05,19.42,20.25,19.41,4.23M,3.46%
3/20/24,19.38,18.47,19.45,18.25,5.90M,3.86%
3/19/24,18.66,16.82,19.45,16.82,15.08M,9.38%
3/18/24,17.06,17.36,17.43,16.78,4.13M,-1.33%
3/15/24,17.29,17.52,17.92,17.27,4.96M,-1.76%
3/14/24,17.6,17.82,18.05,17.46,3.37M,-2.17%
3/13/24,17.99,17.8,18.22,17.75,3.62M,1.07%
3/12/24,17.8,17.42,17.86,17.32,4.24M,1.77%
3/11/24,17.49,16.9,17.67,16.9,4.33M,2.52%
3/8/24,17.06,17.06,17.32,16.86,5.82M,0.89%
3/7/24,16.91,17.38,17.64,16.9,7.56M,-3.59%
3/6/24,17.54,18.73,18.94,17.4,17.71M,-16.08%
3/5/24,20.9,20.14,21.15,19.9,8.39M,1.55%
3/4/24,20.58,20.92,21.39,20.56,5.27M,-0.68%
3/1/24,20.72,20.94,21,20.2,4.29M,-1.19%
2/29/24,20.97,21.87,21.91,20.79,4.06M,-1.64%
2/28/24,21.32,21.44,21.9,21.19,5.41M,-1.71%
2/27/24,21.69,21,21.74,20.97,4.09M,4.28%
2/26/24,20.8,20.44,20.84,20.33,3.70M,2.01%
2/23/24,20.39,20.41,20.57,20.13,3.64M,0.34%
2/22/24,20.32,20.2,20.46,20.03,2.50M,1.96%
2/21/24,19.93,19.75,19.96,19.62,2.52M,0.55%
2/20/24,19.82,19.79,19.9,19.61,2.42M,-1.39%
2/16/24,20.1,20.03,20.35,19.87,2.01M,-0.89%
2/15/24,20.28,19.84,20.36,19.75,4.51M,3.47%
2/14/24,19.6,19.62,19.75,19.14,2.94M,1.82%
2/13/24,19.25,19.11,19.26,18.58,3.82M,-3.65%
2/12/24,19.98,19.2,20.1,19.18,3.40M,4.50%
2/9/24,19.12,19.07,19.19,18.72,3.49M,0.21%
2/8/24,19.08,18.65,19.2,18.5,2.62M,3.53%
2/7/24,18.43,18.68,18.86,18.31,2.76M,-1.55%
2/6/24,18.72,18.14,18.82,18.05,2.74M,2.58%
2/5/24,18.25,17.76,18.55,17.66,4.76M,0.72%
2/2/24,18.12,18.01,18.3,17.76,5.58M,-0.77%
2/1/24,18.26,18.33,18.45,17.53,4.96M,0.61%
1/31/24,18.15,18.5,18.88,18.12,6.40M,-3.04%
1/30/24,18.72,18.96,19.03,18.65,4.49M,-2.55%
1/29/24,19.21,19.75,19.77,18.97,4.43M,-3.13%
1/26/24,19.83,19.61,20.05,19.61,3.10M,1.80%
1/25/24,19.48,19.19,19.63,19.07,3.79M,2.96%
1/24/24,18.92,19.07,19.36,18.88,4.86M,1.18%
1/23/24,18.7,18.97,19.14,18.32,4.60M,-0.16%
1/22/24,18.73,18.08,18.77,17.82,5.15M,4.00%
1/19/24,18.01,17.71,18.02,17.45,5.28M,1.81%
