Date,Price,Open,High,Low,Vol.,Change %
9/4/24,67.39,66.5,67.55,65.38,1.49M,0.54%
9/3/24,67.03,68.04,69.15,66.62,1.64M,-2.12%
8/30/24,68.48,68.8,68.8,67.08,1.64M,-0.01%
8/29/24,68.49,68.63,69.35,67.91,1.04M,0.03%
8/28/24,68.47,69.18,69.56,68.12,1.41M,-2.17%
8/27/24,69.99,69.8,70.36,69.18,1.54M,-0.23%
8/26/24,70.15,70,70.91,69.95,1.47M,0.50%
8/23/24,69.8,68,69.86,67.65,1.43M,3.71%
8/22/24,67.3,67.74,68.08,67.24,1.26M,-0.56%
8/21/24,67.68,66.52,67.75,66.5,1.21M,2.94%
8/20/24,65.75,66.89,67.12,65.67,1.43M,-1.60%
8/19/24,66.82,65.08,66.98,65.04,1.54M,3.05%
8/16/24,64.84,64.71,65.06,64.33,1.23M,-0.23%
8/15/24,64.99,64.2,65.45,64.15,2.04M,3.62%
8/14/24,62.72,63.8,64,62.56,1.35M,-1.40%
8/13/24,63.61,62.57,63.92,62.51,2.35M,3.08%
8/12/24,61.71,62.7,62.79,61.15,1.45M,-1.18%
8/9/24,62.45,62.12,62.46,61.41,1.18M,0.19%
8/8/24,62.33,60.7,62.33,60.31,1.72M,4.41%
8/7/24,59.7,60.96,61.49,59.59,1.72M,-0.55%
8/6/24,60.03,59.76,61.11,59.43,2.07M,0.96%
8/5/24,59.46,57.35,60.52,56.71,3.14M,0.02%
8/2/24,59.45,61.29,61.54,59.42,2.18M,-6.04%
8/1/24,63.27,64.9,65.38,62.45,1.86M,-2.86%
7/31/24,65.13,65.11,65.88,64.43,1.46M,1.13%
7/30/24,64.4,65.06,65.59,64.07,1.77M,-0.80%
7/29/24,64.92,65.09,65.25,63.85,2.59M,0.31%
7/26/24,64.72,65,65.93,63.46,4.60M,1.59%
7/25/24,63.71,64,64.78,63.03,3.66M,-0.48%
7/24/24,64.02,64.9,65.41,64.02,1.97M,-1.66%
7/23/24,65.1,65.25,66.11,64.93,2.62M,1.39%
7/22/24,64.21,64.46,64.5,63,3.24M,1.23%
7/19/24,63.43,64.43,65.09,63.33,1.91M,-1.40%
7/18/24,64.33,65.5,66.48,64,2.43M,-1.46%
7/17/24,65.28,66.35,67.86,65.2,2.35M,-2.90%
7/16/24,67.23,66.5,67.34,66.23,1.65M,1.72%
7/15/24,66.09,67.99,68.28,65.89,2.11M,-3.04%
7/12/24,68.16,68.43,68.86,68,2.02M,0.38%
7/11/24,67.9,67.45,68.01,67.11,1.23M,1.77%
7/10/24,66.72,67.39,67.55,65.7,1.49M,-0.91%
