company_name,event_date,event_type,car_3day,flight_date,days_before,dep_city,dep_lat,dep_lon,arr_city,arr_lat,arr_lon
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-15,2,,,,McKinney,33.245493,-96.565834
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-19,29,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-19,29,Springfield,37.222705,-93.248348,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-18,30,Dallas,33.177898,-96.5905,Everton,37.359699,-93.662498
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-18,30,,,,McKinney,33.245493,-96.565834
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-21,27,Willard,37.31999969482422,-93.4198989868164,Kansas City,39.123199,-94.592796
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-21,27,Dallas,33.177898,-96.5905,,,
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-20,28,,,,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-20,28,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-11-20,28,Willard,37.31999969482422,-93.4198989868164,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-12-03,15,Springfield,37.245047,-93.388596,Des Moines,41.534027,-93.656719
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-12-02,16,Minneapolis,44.8272018433,-93.4570999146,,,
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-12-02,16,,,,Minneapolis,44.8272018433,-93.4570999146
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-12-06,12,,,,Nashville,36.1245,-86.6782
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-12-11,7,Willard,37.31999969482422,-93.4198989868164,Viola,41.16450119018555,-90.55740356445312
Great Southern Bancorp Inc,2024-12-18,Other,-0.0452785589097669,2024-12-16,2,,,,McKinney,33.245493,-96.565834
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2024-12-26,26,,,,Rogersville,37.186944,-93.094167
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2024-12-26,26,Springfield,37.245047,-93.388596,,,
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2024-12-31,21,,,,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2024-12-31,21,Springfield,37.245047,-93.388596,,,
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-14,7,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-14,7,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-13,8,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-13,8,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-15,6,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-15,6,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-15,6,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-15,6,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-15,6,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-21,Earnings,-0.0378328804620479,2025-01-15,6,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2024-12-26,27,,,,Rogersville,37.186944,-93.094167
